metric,workload,v,side
uop-cache (DSB) MPKI,lombok-3479,30.6784,Agentic
uop-cache (DSB) MPKI,micropython-13039,55.3751,Agentic
uop-cache (DSB) MPKI,nushell-13831,48.37175,Agentic
uop-cache (DSB) MPKI,php-cs-fixer-8064,40.7326,Agentic
uop-cache (DSB) MPKI,phpspreadsheet-3463,54.353049999999996,Agentic
uop-cache (DSB) MPKI,preact-3763,49.7894,Agentic
uop-cache (DSB) MPKI,prometheus-10720,28.5247,Agentic
uop-cache (DSB) MPKI,redis-10068,44.62285,Agentic
uop-cache (DSB) MPKI,redis-12272,42.9303,Agentic
uop-cache (DSB) MPKI,ripgrep-2209,48.042550000000006,Agentic
uop-cache (DSB) MPKI,rubocop-13560,47.5938,Agentic
uop-cache (DSB) MPKI,three.js-26589,46.2168,Agentic
